iter	Passed	Remaining
433	1544	2014
434	1548	2010
435	1551	2007
436	1555	2003
437	1558	1999
438	1562	1996
439	1565	1992
440	1569	1989
441	1572	1985
442	1576	1981
443	1579	1977
444	1583	1974
445	1586	1970
446	1589	1966
447	1593	1963
448	1596	1959
449	1600	1955
450	1603	1952
451	1607	1948
452	1610	1945
453	1614	1942
454	1618	1938
455	1622	1935
456	1626	1932
457	1629	1928
458	1633	1924
459	1636	1921
460	1640	1917
461	1643	1914
462	1647	1910
463	1650	1906
464	1654	1903
465	1657	1899
466	1661	1895
467	1664	1892
468	1668	1888
469	1671	1885
470	1675	1882
471	1679	1878
472	1683	1875
473	1687	1872
474	1690	1868
475	1694	1865
476	1697	1861
477	1701	1857
478	1704	1854
479	1708	1850
480	1711	1846
481	1714	1843
482	1718	1839
483	1722	1836
484	1725	1832
485	1729	1828
486	1732	1825
487	1736	1821
488	1739	1817
489	1743	1814
490	1746	1810
491	1750	1806
492	1753	1803
493	1756	1799
494	1760	1795
495	1763	1792
496	1767	1788
497	1770	1785
498	1774	1781
499	1778	1778
500	1781	1774
501	1785	1771
502	1788	1767
503	1792	1764
504	1795	1760
505	1799	1756
506	1802	1752
507	1806	1749
508	1809	1745
509	1813	1742
510	1816	1738
511	1819	1734
512	1823	1731
513	1827	1728
514	1831	1724
515	1835	1721
516	1838	1717
517	1842	1714
518	1846	1711
519	1850	1707
520	1854	1704
521	1858	1701
522	1862	1698
523	1865	1695
524	1870	1691
525	1873	1688
526	1877	1685
527	1882	1682
528	1886	1679
529	1889	1675
530	1893	1672
531	1897	1669
532	1901	1665
533	1905	1662
534	1909	1659
535	1912	1655
536	1916	1652
537	1920	1649
538	1924	1646
539	1928	1642
540	1932	1639
541	1936	1636
542	1940	1632
543	1943	1629
544	1947	1625
545	1951	1622
546	1955	1619
547	1958	1615
548	1962	1612
549	1966	1609
550	1970	1605
551	1974	1602
552	1978	1598
553	1981	1595
554	1985	1592
555	1989	1588
556	1993	1585
557	1997	1582
558	2001	1578
559	2004	1575
560	2008	1571
561	2012	1568
562	2016	1565
563	2020	1561
564	2024	1558
565	2028	1555
566	2031	1551
567	2036	1548
568	2040	1545
569	2043	1541
570	2048	1538
571	2052	1535
572	2056	1532
573	2060	1529
574	2064	1525
575	2068	1522
576	2072	1519
577	2076	1515
578	2079	1512
579	2083	1508
580	2087	1505
581	2091	1502
582	2095	1498
583	2099	1495
584	2103	1491
585	2106	1488
586	2110	1485
587	2114	1481
588	2118	1478
589	2122	1474
590	2126	1471
591	2129	1467
592	2133	1464
593	2137	1461
594	2141	1457
595	2145	1454
596	2149	1450
597	2153	1447
598	2157	1444
599	2161	1440
600	2164	1437
601	2168	1433
602	2172	1430
603	2175	1426
604	2179	1423
605	2183	1419
606	2187	1416
607	2191	1412
608	2194	1409
609	2198	1405
610	2202	1402
611	2206	1398
612	2210	1395
613	2214	1392
614	2218	1388
615	2222	1385
616	2226	1382
617	2230	1378
618	2235	1375
619	2238	1372
620	2242	1368
621	2246	1365
622	2250	1362
623	2254	1358
624	2258	1355
625	2262	1351
626	2266	1348
627	2270	1344
628	2273	1341
629	2278	1338
630	2282	1334
631	2286	1331
632	2289	1327
633	2293	1324
634	2297	1320
635	2301	1317
636	2305	1313
637	2308	1310
638	2312	1306
639	2316	1303
640	2320	1299
641	2324	1296
642	2328	1292
643	2332	1289
644	2336	1286
645	2340	1282
646	2344	1279
647	2348	1275
648	2352	1272
649	2356	1268
650	2359	1265
651	2363	1261
652	2367	1258
653	2371	1254
654	2375	1251
655	2379	1247
656	2383	1244
657	2387	1240
658	2391	1237
659	2395	1234
660	2399	1230
661	2403	1227
662	2407	1223
663	2411	1220
664	2415	1216
665	2419	1213
666	2423	1209
667	2426	1206
668	2430	1202
669	2434	1199
670	2438	1195
671	2442	1191
672	2446	1188
673	2450	1185
674	2454	1181
675	2458	1178
676	2462	1174
677	2466	1171
678	2470	1167
679	2474	1164
680	2478	1160
681	2482	1157
682	2485	1153
683	2489	1150
684	2493	1146
685	2497	1143
686	2501	1139
687	2505	1136
688	2508	1132
689	2512	1128
690	2516	1125
691	2520	1121
692	2524	1118
693	2528	1114
694	2532	1111
695	2535	1107
696	2539	1103
697	2543	1100
698	2546	1096
699	2550	1093
700	2554	1089
701	2558	1085
702	2562	1082
703	2565	1078
704	2570	1075
705	2573	1071
706	2577	1068
707	2581	1064
708	2585	1061
709	2589	1057
710	2593	1054
711	2596	1050
712	2600	1046
713	2603	1042
714	2606	1039
715	2610	1035
716	2613	1031
717	2616	1027
718	2620	1024
719	2624	1020
720	2627	1016
721	2630	1013
722	2634	1009
723	2637	1005
724	2641	1001
725	2644	998
726	2648	994
727	2652	990
728	2655	987
729	2659	983
730	2662	979
731	2665	976
732	2669	972
733	2672	968
734	2676	964
735	2679	961
736	2682	957
737	2686	953
738	2689	949
739	2692	946
740	2696	942
741	2699	938
742	2703	935
743	2706	931
744	2710	927
745	2713	924
746	2717	920
747	2721	916
748	2724	913
749	2728	909
750	2731	905
751	2735	902
752	2739	898
753	2742	894
754	2746	891
755	2749	887
756	2753	883
757	2757	880
758	2760	876
759	2764	872
760	2767	869
761	2771	865
762	2774	861
763	2778	858
764	2782	854
765	2785	850
766	2788	847
767	2792	843
768	2795	839
769	2798	836
770	2802	832
771	2806	828
772	2809	825
773	2813	821
774	2816	817
775	2820	814
776	2823	810
777	2826	806
778	2830	802
779	2834	799
780	2837	795
781	2840	791
782	2844	788
783	2847	784
784	2851	780
785	2854	777
786	2857	773
787	2861	769
788	2864	766
789	2867	762
790	2871	758
791	2874	755
792	2878	751
793	2881	747
794	2885	743
795	2888	740
796	2891	736
797	2895	732
798	2898	729
799	2901	725
800	2905	721
801	2908	718
802	2912	714
803	2915	710
804	2919	707
805	2923	703
806	2926	699
807	2929	696
808	2933	692
809	2936	688
810	2940	685
811	2943	681
812	2946	677
813	2950	674
814	2953	670
815	2957	666
816	2960	663
817	2963	659
818	2967	655
819	2970	652
820	2974	648
821	2977	644
822	2981	641
823	2984	637
824	2987	633
825	2991	630
826	2994	626
827	2998	622
828	3001	619
829	3004	615
830	3008	611
831	3011	608
832	3015	604
833	3019	600
834	3022	597
835	3025	593
836	3029	589
837	3032	586
838	3036	582
839	3039	578
840	3042	575
841	3046	571
842	3049	567
843	3053	564
844	3056	560
845	3060	557
846	3063	553
847	3067	549
848	3070	546
849	3074	542
850	3077	538
851	3081	535
852	3084	531
853	3088	527
854	3091	524
855	3095	520
856	3098	517
857	3102	513
858	3106	509
859	3109	506
860	3112	502
861	3116	498
862	3119	495
863	3123	491
864	3126	487
865	3130	484
866	3133	480
867	3137	477
868	3140	473
869	3143	469
870	3147	466
871	3150	462
872	3153	458
873	3157	455
874	3160	451
875	3163	447
876	3166	444
877	3170	440
878	3173	436
879	3177	433
880	3180	429
881	3184	426
882	3187	422
883	3191	418
884	3194	415
885	3197	411
886	3201	407
887	3204	404
888	3207	400
889	3211	396
890	3214	393
891	3218	389
892	3221	386
893	3225	382
894	3228	378
895	3232	375
896	3235	371
897	3239	367
898	3242	364
899	3246	360
900	3249	357
901	3252	353
902	3256	349
903	3259	346
904	3263	342
905	3266	338
906	3269	335
907	3273	331
908	3276	328
909	3280	324
910	3283	320
911	3286	317
912	3290	313
913	3293	309
914	3296	306
915	3300	302
916	3304	299
917	3307	295
918	3310	291
919	3314	288
920	3317	284
921	3320	280
922	3324	277
923	3327	273
924	3331	270
925	3335	266
926	3338	262
927	3342	259
928	3345	255
929	3349	252
930	3352	248
931	3356	244
932	3360	241
933	3364	237
934	3367	234
935	3371	230
936	3375	226
937	3378	223
938	3381	219
939	3385	216
940	3389	212
941	3392	208
942	3395	205
943	3399	201
944	3402	198
945	3406	194
946	3409	190
947	3412	187
948	3416	183
949	3419	179
950	3423	176
951	3426	172
952	3430	169
953	3434	165
954	3437	161
955	3441	158
956	3444	154
957	3448	151
958	3451	147
959	3455	143
960	3458	140
961	3461	136
962	3465	133
963	3468	129
964	3472	125
965	3475	122
966	3479	118
967	3482	115
968	3486	111
969	3489	107
970	3493	104
971	3496	100
972	3500	97
973	3503	93
974	3506	89
975	3510	86
976	3513	82
977	3517	79
978	3520	75
979	3524	71
980	3527	68
981	3530	64
982	3534	61
983	3538	57
984	3541	53
985	3545	50
986	3548	46
987	3552	43
988	3556	39
989	3559	35
990	3563	32
991	3566	28
992	3570	25
993	3573	21
994	3576	17
995	3580	14
996	3583	10
997	3587	7
998	3590	3
999	3594	0
