iter	Logloss
0	0.6268341738
1	0.5810579169
2	0.5365060172
3	0.4993390307
4	0.4685358128
5	0.4422068021
6	0.4138044941
7	0.3844292452
8	0.3612707607
9	0.3386179762
10	0.3227864979
11	0.3065259458
12	0.2948230136
13	0.2837793475
14	0.2748097452
15	0.2674355677
16	0.2552544846
17	0.2482513354
18	0.2396282882
19	0.2343065433
20	0.2280895291
21	0.2221379688
22	0.2162799504
23	0.2121761575
24	0.2091726637
25	0.2056593504
26	0.2013837379
27	0.198609116
28	0.1952180264
29	0.1926958913
30	0.1908282374
31	0.1889128344
32	0.1868501352
33	0.1848861112
34	0.1834646037
35	0.1814560074
36	0.1805453787
37	0.1786572772
38	0.1764651216
39	0.1752892846
40	0.1732614064
41	0.1721578219
42	0.17080952
43	0.1695115491
44	0.1679620227
45	0.1668503108
46	0.1658879419
47	0.1646402291
48	0.1638285989
49	0.163067859
50	0.1614435801
51	0.1601402804
52	0.1593694772
53	0.158151845
54	0.156818786
55	0.1558933438
56	0.155092164
57	0.1540266507
58	0.1531788016
59	0.1526608221
60	0.1521632479
61	0.1516886526
62	0.1511368556
63	0.150237419
64	0.1493070461
65	0.1483533766
66	0.1476355985
67	0.1469790577
68	0.1461178759
69	0.1454355542
70	0.1450348014
71	0.1446371605
72	0.1443014725
73	0.1437797266
74	0.1432910262
75	0.1427886669
76	0.1420153721
77	0.1415534383
78	0.1411870307
79	0.1406352123
80	0.1401331359
81	0.1397176535
82	0.1391905746
83	0.1388147153
84	0.1384963815
85	0.1380721734
86	0.1376752962
87	0.1372423691
88	0.1368904414
89	0.1365067373
90	0.1358469799
91	0.1353776795
92	0.1350459213
93	0.1345301803
94	0.1342067644
95	0.1338836801
96	0.1336453746
97	0.1333459385
98	0.1328828089
99	0.1325268167
100	0.1322456036
101	0.1318283161
102	0.1316218455
103	0.1313290143
104	0.1310180609
105	0.1307035373
106	0.1304415615
107	0.130213272
108	0.1297999827
109	0.1294553462
110	0.1290898698
111	0.1288134835
112	0.1285790329
113	0.1283865887
114	0.1279966732
115	0.1277845818
116	0.1275789186
117	0.1274054309
118	0.1271844085
119	0.1269769641
120	0.1267808917
121	0.1265191658
122	0.1262133947
123	0.1258600366
124	0.1256202779
125	0.1254569189
126	0.1252236337
127	0.1248563961
128	0.1244495542
129	0.1239322389
130	0.1236486495
131	0.1233827911
132	0.1232394328
133	0.1230112613
134	0.1228244835
135	0.122634181
136	0.1223978957
137	0.1222072361
138	0.1220783379
139	0.1218999739
140	0.1217460611
141	0.1215652493
142	0.121408269
143	0.1212605213
144	0.1210424795
145	0.1207582607
146	0.120615488
147	0.1204374679
148	0.120312075
149	0.1199815069
150	0.1197656869
151	0.1195130047
152	0.1193954295
153	0.119222568
154	0.1190519263
155	0.1188785069
156	0.1187010963
157	0.1184614529
158	0.1183370466
159	0.118149143
160	0.1180450864
161	0.1176986893
162	0.1175916069
163	0.1173967005
164	0.1171916187
165	0.11699912
166	0.1167710657
167	0.1166067675
168	0.1164091827
169	0.1162770109
170	0.1161133326
171	0.1160134998
172	0.1158855177
173	0.1156508689
174	0.1155342978
175	0.1154365274
176	0.1152924283
177	0.115197565
178	0.115050334
179	0.1148500073
180	0.1146939969
181	0.114554538
182	0.1143380853
183	0.1141759282
184	0.1140488097
185	0.1138339159
186	0.1137230461
187	0.1135953407
